"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu740";0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Tubulinea";"Tubulinea_X";"Elardia";"Leptomyxida";"Flabellulidae";NA;NA;NA;NA;NA;NA
"Otu535";2;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;1;4;0;0;1;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu483";2;0;0;2;2;1;1;1;4;0;1;0;2;0;2;1;0;1;0;0;0;0;4;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;5;0;1;0;3;0;1;1;1;1;3;1;0;3;4;1;2;2;0;1;0;1;2;1;4;1;2;0;0;1;1;1;0;2;3;2;2;2;0;0;1;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";"Balamuthiidae";"Balamuthia";"Balamuthia_mandrillaris";NA;NA;NA;NA
"Otu110";1;6;4;2;5;6;2;2;4;1;1;0;4;8;4;2;3;3;3;1;1;2;4;4;8;11;4;6;6;2;5;5;2;11;1;0;1;1;5;1;12;4;7;0;11;1;13;0;4;1;0;0;2;0;0;0;6;0;0;1;0;0;0;1;0;3;0;0;1;1;1;0;2;0;4;2;1;5;2;1;1;2;0;2;3;4;5;0;2;1;5;0;1;4;5;11;0;3;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Imbricatea";"Euglyphida";"Euglyphidae";"Euglypha";NA;"omnivore";"testate_cell_silica";"gliding";"ubiquitous"
"Otu370";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;2;1;0;0;0;2;2;6;1;0;3;1;0;1;0;1;0;0;1;1;0;2;0;2;0;1;0;0;0;0;1;1;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Thecofilosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1675";3;4;3;3;13;3;3;1;3;2;3;0;4;2;4;1;5;3;0;0;1;0;4;4;0;1;2;5;3;0;3;1;25;3;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;2;0;0;0;4;5;2;1;0;2;1;3;1;2;1;3;0;3;1;1;4;1;4;3;0;6;0;1;0;1;2;1;2;3;1;0;7;1;2;3;1;2;4;4;1;1;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu195";0;0;1;0;2;2;2;0;3;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;3;3;4;3;6;1;7;4;1;8;1;1;1;1;1;2;1;3;0;5;2;0;5;5;0;1;0;0;2;4;1;2;1;5;2;0;2;3;7;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu347";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;3;1;3;1;0;3;1;0;3;1;3;2;1;1;4;1;3;1;4;2;2;0;1;0;4;0;0;1;0;0;1;1;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu164";11;22;7;12;13;27;10;9;9;8;3;20;19;11;15;7;14;19;12;8;1;1;0;3;2;0;1;5;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;7;7;4;2;4;6;2;6;4;3;6;5;4;2;7;1;9;8;3;1;2;2;6;5;10;0;3;5;6;10;4;1;4;5;15;6;6;10;3;2;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu117";4;1;1;0;1;2;2;0;1;0;1;1;2;0;1;3;2;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;1;3;1;3;0;0;1;2;3;7;6;4;3;5;5;6;4;6;1;5;3;9;6;8;3;5;3;9;2;0;8;3;6;3;5;3;9;7;4;5;"Eukaryota";"Amoebozoa";"Tubulinea";"Tubulinea_X";"Elardia";"Euamoebida";"Nolandellidae";"Nolandella";"Nolandella_sp.";NA;NA;NA;NA
"Otu204";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;6;2;9;1;0;4;1;6;5;4;0;1;3;0;0;0;0;0;1;0;0;4;4;2;0;0;0;0;0;0;1;1;0;0;1;"Eukaryota";"TSAR";"Alveolata";"Dinoflagellata";"Syndiniales";"Dino-Group-II";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-7_X";"Dino-Group-II-Clade-7_X_sp.";NA;NA;NA;NA
"Otu894";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Excavata";"Discoba";"Discoba_X";"Heterolobosea";"Acrasida";"Acrasidae";"Allovahlkampfia";"Allovahlkampfia_sp.";NA;NA;NA;NA
"Otu586";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;1;0;0;0;0;1;3;1;2;1;2;1;0;2;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;1;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu469";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;0;0;0;2;0;1;0;1;2;0;0;0;1;0;"Eukaryota";"TSAR";"Alveolata";"Dinoflagellata";"Syndiniales";NA;NA;NA;NA;NA;NA;NA;NA
"Otu313";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;3;0;3;1;3;0;3;4;2;3;4;1;1;1;0;3;2;2;2;2;0;1;1;5;0;2;1;1;0;1;0;10;1;3;0;1;0;4;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu170";8;0;2;3;0;5;0;0;1;3;1;0;0;5;1;2;0;2;0;1;2;1;42;3;5;1;8;6;1;0;4;2;10;11;0;1;2;4;1;1;2;0;4;15;3;5;7;0;0;0;0;1;0;3;1;5;3;0;0;0;0;0;0;2;0;0;1;0;2;0;3;0;5;0;1;2;0;0;0;0;1;1;0;0;0;2;2;0;0;0;0;12;0;1;3;0;0;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";"Colpoda";"Colpoda_steinii";NA;NA;NA;NA
"Otu57";7;8;2;5;6;11;3;0;3;2;4;2;13;4;8;15;2;7;5;1;0;2;4;11;4;4;4;3;7;2;5;5;9;5;1;6;6;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;3;7;8;0;4;14;6;6;13;2;5;9;7;6;4;11;11;8;8;3;2;22;0;16;5;5;7;13;2;7;4;2;12;11;8;9;3;5;8;7;8;9;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Chlorosarcinopsis";"Chlorosarcinopsis_eremi";NA;NA;NA;NA
"Otu53";2;5;5;6;9;11;6;5;7;0;4;2;10;2;8;12;3;4;8;2;0;1;7;2;3;0;3;3;10;28;4;0;2;0;0;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;18;13;6;17;9;15;12;9;17;6;9;15;11;10;13;21;14;7;7;13;2;17;14;20;12;7;5;21;8;31;7;13;9;12;7;9;14;3;16;13;19;7;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";"Balamuthiidae";"Balamuthia";"Balamuthia_mandrillaris";NA;NA;NA;NA
"Otu1664";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
