"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu1938";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";NA;NA;NA;NA;NA;NA;NA;NA
"Otu516";3;0;0;2;0;4;8;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;1;0;0;6;1;3;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;1;0;1;0;2;0;1;5;0;1;0;2;2;0;0;1;0;1;0;1;1;1;3;1;2;1;1;2;1;2;1;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";NA;NA;NA;NA;NA;NA;NA
"Otu1801";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Opalozoa";"Opalinata";"Blastocystis-Group";"Blastocystis";NA;NA;NA;NA;NA
"Otu584";1;0;3;0;4;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;3;4;0;0;0;0;0;0;0;0;0;0;2;0;1;1;2;0;0;0;0;2;0;0;0;2;1;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";"Flamella-lineage_X";"Flamella-lineage_X_sp.";NA;NA;NA;NA
"Otu513";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;5;6;4;13;2;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu950";0;0;1;1;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA;NA;NA;NA;NA
"Otu729";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;4;1;3;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;"Eukaryota";"Archaeplastida";"Streptophyta";"Streptophyta_X";"Embryophyceae";"Embryophyceae_X";"Embryophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu807";0;1;0;2;1;1;1;0;0;0;3;0;0;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;4;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Spongiochloris";NA;NA;NA;NA;NA
"Otu579";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;1;0;0;0;0;0;2;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu1653";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu1735";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Bursariomorphida";NA;NA;NA;NA;NA;NA
"Otu694";1;1;2;0;0;0;1;1;3;0;2;0;0;0;0;1;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;2;0;1;2;1;0;0;0;0;0;0;3;0;1;1;1;1;0;0;0;1;2;2;1;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Opalozoa";"Opalozoa_X";"MAST-12";"MAST-12C";"MAST-12C_sp.";NA;NA;NA;NA
"Otu971";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;1;0;0;2;7;1;3;0;0;2;0;0;5;0;0;0;0;3;0;0;0;0;0;1;0;0;1;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Flabellinia";"Vannellida";"Vannellidae";"Vannella";NA;NA;NA;NA;NA
"Otu912";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Sandonidae";NA;NA;NA;NA;NA;NA
"Otu1838";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu828";0;0;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;11;0;0;0;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Phyllopharyngea";"Cyrtophoria_4";"Chilodonellidae";NA;NA;NA;NA;NA;NA
"Otu1835";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu1807";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";"Balamuthiidae";"Balamuthia";"Balamuthia_mandrillaris";NA;NA;NA;NA
"Otu1214";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Tubulinea";"Tubulinea_X";"Elardia";"Leptomyxida";"Leptomyxidae";NA;NA;NA;NA;NA;NA
"Otu401";1;2;6;1;1;0;2;4;0;2;5;0;5;1;4;0;4;1;2;0;3;0;2;0;0;0;1;2;0;0;6;2;6;3;0;2;1;0;0;1;0;6;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;3;1;0;2;1;5;0;2;1;0;0;1;1;3;0;0;0;2;1;0;0;0;1;1;1;4;0;2;0;0;2;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu1803";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Pratylenchus";"Pratylenchus_neglectus";NA;NA;NA;NA
"Otu725";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;5;0;14;2;0;0;0;2;0;1;0;4;3;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp.";NA;NA;NA;NA
"Otu1926";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Granofilosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu1817";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu1031";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;"Eukaryota";"Amoebozoa";"Tubulinea";"Tubulinea_X";"Elardia";"Euamoebida";"Nolandellidae";"Nolandella";"Nolandella_sp.";NA;NA;NA;NA
"Otu683";0;0;3;0;0;1;1;0;0;0;2;0;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;0;2;1;0;1;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu845";3;0;0;0;0;1;0;0;1;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Imbricatea";"Euglyphida";"Euglyphidae";"Euglypha";NA;"omnivore";"testate_cell_silica";"gliding";"ubiquitous"
"Otu909";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp.";NA;NA;NA;NA
"Otu473";0;0;0;2;2;0;3;0;0;3;4;0;2;0;0;1;0;4;0;0;0;0;3;5;0;0;3;0;0;0;0;1;0;0;0;2;1;1;0;0;3;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;2;2;1;0;0;1;0;0;0;4;0;0;0;0;0;2;1;2;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Eocercomonas";"Eocercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu1153";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";"Balamuthiidae";"Balamuthia";"Balamuthia_mandrillaris";NA;NA;NA;NA
