"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species"
"Otu1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA
"Otu603";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;0;0;3;0;1;0;0;0;0;0;0;4;0;3;1;1;0;0;0;1;2;0;0;0;0;0;0;2;2;0;2;0;3;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";NA
"Otu344";0;2;0;1;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;1;3;2;0;0;1;3;0;2;4;2;0;6;6;1;2;0;0;0;2;10;2;0;1;3;0;1;0;2;0;1;0;1;0;0;1;1;1;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA
"Otu281";8;1;6;1;10;4;2;0;3;1;0;8;0;0;1;1;4;2;1;0;2;0;3;1;0;0;3;0;0;5;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;15;14;11;10;22;14;3;15;21;12;18;16;24;12;15;9;12;3;4;9;10;16;16;16;14;6;9;8;2;10;15;10;20;6;10;11;9;4;11;10;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA
"Otu15";39;15;19;5;16;15;93;4;3;7;24;15;16;13;21;8;14;10;18;0;3;2;6;5;11;2;5;10;8;7;6;2;0;2;0;0;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;0;38;29;22;40;19;51;11;86;68;14;34;48;96;32;46;92;48;31;29;29;9;50;60;49;34;52;17;66;21;91;24;171;21;25;47;20;24;20;23;39;24;21;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA
"Otu187";0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;21;2;4;5;32;3;1;1;2;6;12;5;13;4;20;3;1;9;3;3;1;4;7;9;10;4;29;9;7;3;8;0;1;0;7;2;11;0;3;2;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";"Oxytrichidae";"Oxytrichidae_X";"Oxytrichidae_X_sp."
"Otu1084";5;3;1;1;0;6;0;2;3;4;1;3;3;0;1;2;1;9;1;0;6;4;3;5;2;9;0;4;1;0;0;2;0;0;5;3;2;4;3;2;0;1;0;16;2;0;1;3;0;0;0;0;1;11;0;0;1;0;2;1;1;3;1;1;3;1;3;6;1;7;5;0;2;1;9;3;4;3;5;0;3;5;2;1;2;3;2;1;4;0;5;1;7;5;1;5;8;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA
"Otu59";8;10;5;7;11;7;15;3;5;6;5;0;11;0;8;5;3;10;2;0;0;1;14;6;3;4;1;6;4;0;2;1;6;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;4;30;20;8;28;1;10;12;8;11;14;5;12;8;16;15;9;4;13;3;18;10;41;10;6;8;14;6;13;2;2;10;7;7;6;11;3;15;15;10;22;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Cryptomonas";NA
"Otu133";20;4;6;5;1;5;4;1;0;5;5;6;11;0;8;0;0;12;0;1;0;0;1;2;0;3;2;6;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;1;5;0;5;1;3;0;5;7;5;4;4;1;10;7;7;6;9;1;3;5;1;7;1;6;6;0;7;3;3;2;2;6;4;18;5;6;8;2;5;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA
"Otu181";2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;15;16;3;3;10;1;11;8;2;9;25;14;11;5;5;3;4;2;2;3;2;6;11;6;3;3;5;1;4;0;3;1;1;0;0;2;0;0;2;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Tetracystis";NA
"Otu121";6;5;6;3;6;7;6;5;3;7;10;1;2;2;3;2;2;8;0;3;1;3;1;4;6;0;2;4;1;10;1;3;16;0;1;0;0;1;4;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;25;9;8;17;3;12;5;9;7;9;18;8;3;15;23;10;18;5;16;13;0;24;12;6;8;13;2;11;11;13;4;3;7;1;5;4;8;2;8;3;16;17;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp."
"Otu627";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Sagenista";"Labyrinthulomycetes";"Amphifilaceae";NA;NA
"Otu71";2;3;3;3;36;35;4;2;6;6;15;0;2;2;21;2;2;18;3;3;1;4;5;14;5;0;7;3;5;4;20;3;1;15;1;0;0;0;0;0;0;1;2;0;0;8;0;0;0;0;0;0;0;0;0;0;4;0;3;1;1;1;1;1;2;0;3;0;2;1;2;1;21;4;2;2;1;3;2;7;5;2;4;5;2;0;0;1;1;1;4;2;0;4;5;1;6;4;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";NA;NA;NA;NA;NA
"Otu365";0;0;4;0;0;0;0;0;3;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;1;0;0;2;1;3;0;2;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;2;1;0;9;2;1;3;2;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadaceae";"Poterioochromonas";NA
"Otu30";21;6;11;13;12;24;17;11;32;6;16;11;12;18;7;3;14;10;34;5;9;25;32;37;24;14;20;29;5;39;30;10;23;15;8;27;46;11;35;11;17;37;52;45;31;49;29;31;38;42;23;6;21;15;10;46;42;23;24;33;13;10;12;10;12;28;20;9;28;29;27;41;15;17;24;38;7;20;25;18;13;26;15;46;31;13;16;11;26;16;15;23;16;29;22;39;44;20;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp."
"Otu23";10;11;8;22;1;3;0;0;2;2;4;6;7;0;5;4;5;12;6;1;0;0;5;6;1;17;4;1;5;0;6;4;7;3;6;0;6;7;2;2;8;12;0;11;10;21;18;21;25;5;40;2;42;252;27;31;9;5;0;6;1;9;2;9;11;20;12;18;5;20;13;6;7;5;7;11;6;19;5;7;5;9;4;3;3;10;2;10;12;3;4;8;16;1;9;8;3;4;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Cercomonas";"Cercomonas_sp."
"Otu3";102;123;164;382;323;255;162;678;348;181;39;775;209;9;169;32;135;97;474;791;912;470;122;157;64;685;308;53;31;57;83;226;64;150;925;291;77;706;323;946;839;187;871;209;358;303;661;101;422;471;424;1043;479;224;148;205;104;339;597;406;652;42;734;471;317;558;243;271;147;137;103;22;103;437;380;21;864;68;158;32;205;266;723;13;352;7;640;308;229;599;151;157;409;384;14;67;206;65;"Eukaryota";"Archaeplastida";"Streptophyta";"Streptophyta_X";"Klebsormidiophyceae";"Klebsormidiophyceae_X";"Klebsormidiophyceae_XX";"Klebsormidium";NA
"Otu887";0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;2;0;1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;1;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Opalozoa";"Opalozoa_X";"MAST-12";"MAST-12C";"MAST-12C_sp."
"Otu169";6;7;4;9;8;2;4;5;15;16;34;2;19;0;11;1;16;46;8;1;6;43;16;8;17;7;27;52;18;220;32;15;27;41;7;19;67;10;28;10;19;28;6;27;33;51;19;6;15;1;10;4;12;5;13;15;5;0;0;1;1;7;1;1;1;2;6;6;7;7;7;9;5;4;7;3;1;13;8;9;3;3;2;3;5;11;7;1;7;3;17;7;8;6;10;21;4;19;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";NA;NA;NA
"Otu100";4;0;1;0;0;8;1;0;1;1;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;12;4;6;2;2;16;11;6;18;3;6;7;4;9;13;9;4;2;6;8;0;9;11;19;5;8;4;8;1;7;7;6;7;6;3;8;2;2;7;6;9;18;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";NA;NA;NA;NA
"Otu396";0;1;2;7;1;1;3;4;0;2;4;0;7;1;0;0;0;1;0;1;0;1;0;2;0;1;1;2;2;1;1;1;9;3;5;0;8;0;0;0;0;0;0;3;0;3;2;0;0;1;1;0;0;0;0;0;1;6;0;8;0;0;2;2;1;1;1;1;1;6;1;4;3;0;1;3;1;7;0;7;1;1;1;0;1;1;2;1;4;0;0;1;0;0;1;0;0;2;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Imbricatea";"Thaumatomonadida";NA;NA;NA
"Otu47";7;9;5;5;2;5;10;2;11;12;16;1;17;0;3;10;0;4;10;1;1;1;2;0;2;0;0;8;1;7;1;0;1;0;0;4;0;3;0;0;31;4;2;1;2;0;5;0;4;4;3;0;0;2;10;23;9;14;0;0;0;0;5;2;4;1;4;0;3;13;5;2;6;89;6;7;0;0;1;7;10;8;4;2;4;8;2;2;16;0;9;9;0;2;11;0;6;1;"Eukaryota";"TSAR";"Alveolata";"Apicomplexa";"Gregarinomorphea";"Neogregarinorida";"Actinocephalidae";"Monocystis";"Monocystis_sp."
"Otu24";17;10;13;6;24;13;18;4;11;12;20;2;25;0;15;2;15;16;4;5;6;4;5;4;3;4;8;5;15;163;15;6;12;15;0;0;4;0;0;0;4;2;0;0;1;0;1;0;0;0;6;0;0;0;0;0;8;2;7;4;9;5;3;8;3;9;10;12;9;8;4;9;15;6;10;15;0;37;15;15;11;11;0;16;9;16;10;9;20;11;16;10;20;9;36;33;17;32;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA
"Otu73";0;0;1;0;0;3;1;0;0;3;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;20;11;6;4;37;8;3;5;3;10;10;5;9;7;9;13;5;9;12;2;27;14;12;3;7;4;10;2;11;1;2;2;1;2;3;9;0;5;3;8;6;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"WIM80-lineage";"WIM80-lineage_X";"WIM80-lineage_X_sp."
"Otu661";0;1;0;4;0;0;1;8;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA
"Otu128";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;6;3;1;15;3;1;7;2;18;3;7;15;7;7;2;0;3;0;1;10;7;2;4;3;4;3;1;0;0;0;0;0;2;1;2;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";"Heterococcus";NA
"Otu107";8;4;6;10;5;11;3;0;5;1;3;0;1;0;3;1;4;5;1;2;0;1;1;1;2;0;3;1;0;0;2;0;4;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;10;1;10;6;8;2;1;11;5;4;3;5;2;5;4;6;6;1;8;10;4;5;7;3;0;3;4;0;2;9;5;6;4;2;2;8;8;5;10;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA
"Otu111";1;0;4;0;0;2;1;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;9;0;8;0;1;9;4;8;2;1;4;1;9;6;8;2;6;1;9;10;19;4;3;1;4;0;1;0;2;1;0;0;6;2;1;2;1;0;9;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Geminigera";"Geminigera_cryophila"
"Otu6";74;384;191;71;8;19;4;8;200;197;59;51;13;1024;474;883;433;18;13;15;6;11;13;11;327;14;18;19;688;18;15;350;11;7;11;0;3;2;20;1;0;1;0;0;0;1;0;0;0;0;0;0;2;1;1;6;8;1;77;1;1;0;8;1;5;10;4;5;5;6;43;48;14;3;4;5;65;11;6;7;7;28;2;5;4;4;23;18;1;4;17;100;97;4;4;23;6;16;"Eukaryota";"Archaeplastida";"Streptophyta";"Streptophyta_X";"Embryophyceae";"Embryophyceae_X";"Embryophyceae_XX";NA;NA
"Otu46";2;3;4;2;12;12;4;6;15;4;3;0;1;0;4;1;7;10;2;1;0;11;2;0;2;1;2;1;2;12;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9;12;8;4;15;4;4;14;2;13;9;11;6;10;16;6;10;3;15;2;25;7;14;6;5;5;15;5;14;5;7;13;9;8;6;0;4;10;15;18;15;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA
"Otu341";0;2;1;2;2;0;4;2;0;0;5;0;2;3;4;1;0;2;1;1;1;1;1;4;2;0;3;0;0;5;6;1;10;1;1;2;3;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;7;0;0;2;2;1;0;0;8;2;1;3;4;2;2;2;1;0;2;11;1;2;0;3;0;2;0;2;4;1;0;1;7;0;3;1;1;0;3;2;3;4;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp."
"Otu32";13;8;11;6;11;4;2;5;3;11;9;18;14;2;8;3;12;12;31;2;0;1;1;11;1;0;9;8;14;18;2;3;126;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;37;26;40;30;25;11;13;17;9;26;22;42;16;12;26;44;11;16;25;12;70;21;42;21;18;12;14;12;27;19;31;23;23;16;6;10;9;16;24;46;18;"Eukaryota";"Amoebozoa";"Tubulinea";"Tubulinea_X";"Elardia";"Euamoebida";"Vermamoebidae";"Hartmannella";"Hartmannella_vermiformis"
"Otu140";3;0;0;0;0;1;0;0;2;0;3;2;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;5;1;0;15;1;2;3;12;6;2;3;12;7;8;7;2;4;10;1;12;7;4;1;7;2;7;8;3;1;2;1;1;1;4;0;1;4;1;2;4;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp."
"Otu132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;5;43;10;0;40;1;1;14;7;1;9;2;0;0;0;0;4;0;2;5;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";NA;NA;NA
"Otu162";5;3;0;4;4;3;0;1;0;2;2;0;0;0;0;0;0;6;2;0;0;0;5;1;2;2;1;0;0;4;5;0;0;0;1;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;3;7;0;8;6;3;8;1;4;19;0;7;4;1;4;6;2;1;2;3;1;1;3;4;6;3;5;1;4;6;4;4;1;0;0;1;0;1;3;3;3;5;10;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Spongiochloris";NA
"Otu76";0;0;0;0;1;1;2;0;1;1;3;1;1;0;4;0;1;2;0;1;1;2;11;6;6;1;23;4;2;6;17;2;30;2;6;26;36;10;12;5;14;18;4;82;42;21;12;13;3;2;9;0;4;1;9;2;7;2;4;4;0;13;6;10;11;17;10;8;23;4;3;8;10;6;7;2;3;3;9;12;1;3;3;3;4;6;4;7;0;5;3;0;7;1;6;1;7;21;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Chlorococcum";"Chlorococcum_microstigmatum"
"Otu146";1;0;0;2;2;1;1;0;0;0;3;0;4;0;0;0;0;2;2;1;0;0;0;3;0;1;3;3;0;0;1;1;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;2;5;8;4;3;3;4;2;3;2;8;1;7;1;5;9;1;3;5;29;0;4;5;6;2;6;3;5;5;4;3;6;1;3;4;8;2;6;1;3;1;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadales_clade-XII";"Ochromonadales_clade-XII_X";"Ochromonadales_clade-XII_X_sp."
"Otu154";22;9;10;9;7;16;12;13;22;11;6;2;12;0;5;5;5;10;1;7;0;6;2;3;6;0;5;9;7;7;3;5;34;3;1;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;12;4;1;3;16;4;11;10;6;14;11;10;22;14;13;24;5;7;18;3;24;23;17;23;22;4;13;5;17;4;6;16;8;7;14;1;7;11;18;22;31;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";NA;NA;NA;NA;NA
"Otu148";5;3;6;2;4;2;1;0;3;0;1;0;8;0;1;1;2;4;2;1;0;0;0;2;2;0;1;1;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;8;7;6;1;5;13;3;9;3;3;9;11;3;7;1;8;5;3;5;7;6;16;3;1;11;7;10;9;4;7;6;7;4;7;3;8;13;5;22;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Eocercomonas";"Eocercomonas_sp."
"Otu174";4;1;4;2;0;1;0;2;3;1;4;0;1;0;2;1;2;1;1;2;0;2;3;5;0;0;7;1;0;0;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;2;3;0;1;4;1;0;2;6;6;0;1;0;0;1;3;0;1;2;0;5;0;0;4;2;0;1;1;6;0;0;0;0;0;13;0;4;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp."
"Otu314";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;1;2;1;2;0;1;1;2;2;3;0;3;0;5;1;0;0;0;5;1;0;3;2;0;0;3;1;5;0;0;0;2;0;0;4;0;1;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Imbricatea";"Euglyphida";"Euglyphidae";"Euglypha";NA
"Otu458";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;1;1;0;2;0;2;1;0;1;0;0;2;0;0;0;4;0;2;0;1;0;2;0;0;1;0;0;0;0;0;1;1;1;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Fractovitellida";"Schizoplasmodiidae";NA;NA
"Otu249";9;3;5;2;6;9;14;2;5;2;5;1;7;1;6;3;4;8;0;2;2;1;5;4;4;3;5;7;3;4;13;1;9;4;2;2;10;0;2;4;1;11;2;7;5;7;2;2;0;4;2;0;5;0;5;8;4;5;0;5;2;8;3;7;6;2;8;8;5;7;4;5;9;5;4;3;0;16;1;8;9;3;0;7;1;4;5;1;3;3;3;2;0;6;4;6;6;10;"Eukaryota";"Amoebozoa";"Discosea";"Discosea_X";"Centramoebia";"Acanthopodida";"Acanthamoebidae";"Acanthamoeba";"Acanthamoeba_sp."
"Otu289";1;0;1;0;3;0;1;0;0;0;0;0;0;0;0;1;0;4;1;0;2;0;3;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;25;0;0;0;1;0;3;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Sandonidae";NA;NA
"Otu42";6;2;3;1;11;5;2;0;0;0;1;1;1;0;2;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;30;46;10;9;44;10;13;46;11;28;41;18;19;25;17;22;13;8;20;6;34;26;31;30;25;9;35;6;27;11;23;14;14;17;12;11;9;11;5;23;40;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";NA;NA
"Otu75";5;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;36;16;20;3;4;7;8;2;2;5;10;16;10;38;15;5;43;21;8;21;2;24;9;6;14;2;19;5;6;0;5;1;32;14;8;13;2;4;0;5;5;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Lagenidium";NA
"Otu279";0;0;7;0;0;7;17;5;0;3;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;4;0;2;0;0;0;0;9;0;1;23;2;0;0;1;13;0;4;5;12;0;0;0;8;4;12;0;17;7;1;4;50;15;4;0;9;0;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Litostomatea";"Litostomatea_X";"Litostomatea_XX";NA;NA
"Otu270";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;1;0;1;0;4;0;1;2;4;2;3;3;3;4;0;3;1;2;1;5;2;2;3;0;2;0;2;1;0;0;0;1;0;1;0;0;1;1;1;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Monoraphidium";NA
