"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF144";"HF149";"HF151";"HF152";"HF158";"HF159";"HF160";"HF162";"HF163";"HF164";"HF169";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu50";0;0;0;0;3;0;0;0;0;0;1;0;15;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;67;1;1;5;13;2;3;0;5;0;2;4;2;53;0;1;2;4;3;2;6;2;25;2;0;0;69;0;0;0;0;2;0;2;6;1;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu18";28;6;0;7;4;1;0;0;0;0;0;14;57;10;0;1;0;11;0;1;1;0;78;7;0;0;0;0;0;0;0;45;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;2;0;0;0;0;13;0;0;0;69;0;0;57;0;0;1;0;2;6;41;2;0;63;1;0;2;0;0;0;0;0;0;0;9;0;0;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Enoplea";"Enoplea_X";"Enoplea_XX";"Enoplea_XX_sp.";NA;NA;NA;NA
"Otu20";14;0;18;0;1;5;0;0;51;0;0;0;0;0;8;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;2;5;2;63;2;17;2;41;35;1;1;7;16;0;54;66;0;1;54;59;0;5;7;2;0;23;0;1;14;0;18;4;0;0;0;8;1;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";"Tardigrada_XXX";"Tardigrada_XXX_sp.";NA;NA;NA;NA
"Otu26";2;18;2;0;13;42;0;7;29;10;1;62;2;6;9;23;4;31;1;23;21;8;6;0;0;1;20;0;33;2;23;22;15;42;47;30;5;38;55;31;34;13;0;4;24;4;1;1;0;2;0;0;18;39;5;15;9;4;11;39;1;0;0;2;1;1;1;4;1;3;1;1;5;0;0;0;5;2;3;0;1;0;3;0;1;0;0;0;6;3;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Mollusca";"Gastropoda";"Caenogastropoda";"Viviparus";"Viviparus_georgianus";NA;NA;NA;NA
"Otu52";9;2;38;0;42;4;29;28;5;4;26;5;9;12;18;23;3;8;10;0;31;30;2;0;0;9;3;1;37;0;56;17;23;13;13;6;37;0;2;6;0;0;0;0;0;1;0;0;0;2;5;0;18;7;0;6;0;2;1;4;1;2;0;2;0;10;0;6;1;3;17;1;0;0;3;2;11;4;3;12;0;0;0;4;1;2;0;6;0;4;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Rotifera";"Rotifera_X";"Rotifera_XX";"Rotifera_XXX";"Rotifera_XXX_sp.";NA;NA;NA;NA
"Otu357";0;14;0;0;2;2;0;0;0;1;2;5;1;3;0;0;5;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;3;0;0;1;0;0;0;2;1;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu141";0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;6;2;1;20;0;3;11;0;11;0;3;3;1;1;0;0;36;20;7;4;4;0;0;1;5;2;23;29;3;0;0;0;1;1;3;13;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Plectus";NA;NA;NA;NA;NA
"Otu159";0;0;8;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15;10;0;0;0;1;1;0;2;0;12;0;9;1;0;0;0;0;0;0;0;0;3;1;0;0;1;1;13;0;1;13;1;1;2;0;7;0;3;3;0;0;0;0;1;0;6;0;0;7;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu395";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;6;2;12;1;0;2;0;0;2;3;0;2;4;0;1;0;2;2;0;1;0;0;0;0;6;8;0;2;1;0;1;1;0;0;3;1;0;2;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Chromadorea_XX";"Chromadorea_XX_sp.";NA;NA;NA;NA
"Otu193";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;14;4;0;23;0;0;0;0;0;0;0;5;0;1;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";NA;NA;NA;NA;NA;NA
"Otu1093";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Chromadorea";"Chromadorea_X";"Aphelenchoides";"Aphelenchoides_sp.";NA;NA;NA;NA
