,HF100,HF101,HF102,HF103,HF104,HF105,HF106,HF107,HF108,HF109,HF110,HF112,HF113,HF114,HF115,HF116,HF117,HF119,HF120,HF124,HF125,HF126,HF127,HF129,HF130,HF131,HF132,HF133,HF134,HF135,HF136,HF137,HF138,HF139,HF140,HF142,HF143,HF144,HF149,HF151,HF152,HF153,HF154,HF156,HF158,HF159,HF160,HF161,HF162,HF163,HF164,HF169,HF171,HF172,HF173,HF178,HF41,HF46,HF47,HF50,HF51,HF52,HF53,HF54,HF55,HF56,HF57,HF58,HF59,HF60,HF61,HF62,HF63,HF64,HF65,HF66,HF68,HF71,HF72,HF73,HF74,HF75,HF76,HF77,HF79,HF80,HF81,HF82,HF83,HF84,HF85,HF90,HF91,HF92,HF93,HF94,HF95,HF96,taxonomy,nutrition,morphology,locomotion,habitat
Otu330,5,0,2,0,10,0,5,0,0,0,0,0,4,3,0,0,3,0,12,4,5,0,0,4,0,0,0,5,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,1,47,4,5,0,7,0,0,0,9,0,1,5,6,9,1,4,0,7,0,0,0,0,1,12,15,0,8,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae,NA,NA,NA,NA
Otu1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,3,0,1,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Echinamoebida;Echinamoebida_X;Echinamoebidae;Echinamoeba;Echinamoeba_sp.;,NA,NA,NA,NA
Otu1694,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;Paracercomonas,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
Otu503,0,0,0,1,8,0,0,0,8,0,0,0,2,1,9,1,1,5,0,2,1,1,2,1,0,0,0,2,2,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,2,1,0,1,4,Eukaryota;Obazoa;Opisthokonta;Fungi;Zoopagomycota;Entomophthoromycotina;Entomophthoromycotina_X;Basidiobolus,NA,NA,NA,NA
Otu1127,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida,NA,NA,NA,NA
Otu1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;Paracercomonas;Paracercomonas_sp.;,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
Otu383,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,4,0,0,1,5,4,0,4,1,7,9,1,1,3,5,12,7,5,1,2,10,3,0,38,12,13,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandona,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu671,0,0,0,2,12,1,0,0,0,9,0,4,0,0,2,0,0,0,2,7,0,1,0,1,0,9,1,2,2,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,Eukaryota;Obazoa;Opisthokonta;Fungi;Fungi_X;Fungi_XX;Fungi_XXX;Fungi_XXXX;Fungi_XXXX_sp.;,NA,NA,NA,NA
Otu675,2,0,0,0,0,2,0,2,0,0,1,9,0,1,9,0,2,0,2,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,6,2,0,0,0,7,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,1,17,0,3,0,5,0,0,2,0,0,0,0,0,0,0,0,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Watanabea-Clade;Watanabea-Clade_X;Apatococcus;Apatococcus_lobatus;,NA,NA,NA,NA
Otu882,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,7,Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Rhizophydiales;Rhizophydiales_X;Rhizophydiales_XX;Rhizophydiales_XX_sp.;,NA,NA,NA,NA
Otu545,0,3,0,0,5,0,2,2,0,3,2,0,0,0,7,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,5,4,0,0,0,5,0,3,4,2,4,1,Unassigned,NA,NA,NA,NA
