"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu354";2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;1;1;1;2;4;1;1;0;2;0;0;3;0;0;1;0;3;0;0;3;2;1;1;0;0;0;9;0;3;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Mamiellophyceae";"Mamiellales";"Mamiellaceae";"Micromonas";"Micromonas_pusilla";NA;NA;NA;NA
"Otu1455";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Prasiolales";"Prasiolales_X";"Pseudostichococcus";"Pseudostichococcus_monallantoides";NA;NA;NA;NA
"Otu873";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Chlorococcum";NA;NA;NA;NA;NA
"Otu1221";0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Prasiolales";"Prasiolales_X";"Pseudochlorella";"Pseudochlorella_signiensis";NA;NA;NA;NA
"Otu818";0;4;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu822";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";NA;NA;NA;NA;NA;NA
"Otu807";0;0;0;2;0;0;2;0;0;1;2;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Spongiochloris";NA;NA;NA;NA;NA
"Otu401";1;3;2;1;0;0;1;0;0;3;5;0;0;1;7;0;4;1;0;0;3;0;2;0;0;0;2;1;0;1;3;3;1;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;3;1;2;0;1;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu287";9;6;6;6;1;3;1;2;4;1;4;0;5;6;4;6;2;3;0;0;1;1;1;2;4;1;6;7;0;4;6;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;0;0;3;1;1;0;1;0;1;0;0;0;3;4;0;1;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";"Parietochloris";NA;NA;NA;NA;NA
"Otu653";0;1;0;0;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Chloromonas";NA;NA;NA;NA;NA
