"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu733";251;907;511;488;760;577;592;659;730;1042;1451;213;1036;384;467;648;468;1486;303;1133;1253;1673;2236;1215;1061;1436;2045;1305;1826;1275;1958;1358;2464;1550;1475;1908;2002;1332;2095;1761;1822;1979;1228;2480;2095;2065;1551;2197;2146;1817;1879;1245;2693;1588;1976;2728;91;195;31;766;237;126;93;106;122;82;132;65;244;116;154;177;173;138;867;223;37;104;69;138;219;176;102;114;209;305;110;138;342;160;330;209;98;166;302;396;305;212;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Leotiomycetes";"Leotiomycetes_X";"Leotiomycetes_X_sp.";NA;NA;NA;NA
"Otu988";19;38;33;73;20;105;8;158;17;67;11;120;14;9;20;29;25;16;133;50;26;45;17;13;16;82;27;22;9;10;13;30;3;35;90;19;3;55;25;12;21;12;18;13;20;3;2;0;6;43;4;33;2;0;3;1;68;48;46;14;36;5;48;67;35;64;42;28;18;17;30;47;50;18;37;22;67;22;44;126;19;73;38;84;52;41;309;49;9;171;30;46;350;152;13;45;53;18;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Agaricomycotina";"Tremellomycetes";NA;NA;NA;NA;NA;NA
"Otu113";3;1;4;4;5;12;5;2;1;1;0;8;3;7;7;2;0;3;14;5;1;1;1;0;1;3;2;3;1;0;0;1;0;0;3;0;1;3;0;0;1;1;9;0;2;0;2;0;1;2;15;4;0;99;0;13;28;37;18;11;6;24;28;5;18;22;26;16;13;15;11;19;7;13;34;16;7;2;25;53;24;29;21;40;9;10;4;10;4;12;26;7;122;5;2;3;15;4;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Sordariomycetes";NA;NA;NA;NA;NA;NA
"Otu15";54;31;27;10;9;27;122;14;18;8;29;27;17;16;29;7;21;11;34;0;5;3;0;3;1;1;0;6;10;1;2;0;0;4;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;57;63;74;97;73;89;22;211;150;44;69;78;200;45;79;184;84;72;56;74;40;93;99;110;72;108;70;136;66;163;52;240;33;83;85;41;34;22;19;64;47;38;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA;NA;NA;NA;NA
"Otu187";0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;55;10;14;19;26;16;3;4;10;18;29;17;25;4;44;3;5;10;6;6;2;3;17;12;18;11;36;18;14;6;14;0;7;1;19;3;9;0;12;1;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";"Oxytrichidae";"Oxytrichidae_X";"Oxytrichidae_X_sp.";NA;NA;NA;NA
"Otu1084";7;3;2;4;0;7;0;7;3;5;2;6;4;2;4;3;5;8;3;1;8;4;0;3;1;15;0;2;2;0;0;0;0;0;4;1;5;6;4;6;0;0;0;14;1;0;3;5;0;0;0;0;0;6;0;0;6;0;4;5;11;5;2;3;6;6;13;10;2;7;8;11;3;3;10;7;8;8;12;0;3;10;5;2;2;5;2;0;7;2;12;9;13;4;2;7;22;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA;NA;NA;NA;NA
"Otu59";7;14;11;11;9;9;25;10;8;7;5;1;13;3;19;13;11;7;6;4;3;2;9;3;1;3;0;6;7;0;1;2;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;48;13;89;49;37;50;8;23;22;13;21;34;14;27;18;27;30;22;7;21;7;30;18;43;10;20;20;35;12;11;7;8;18;17;13;11;20;7;23;23;23;30;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Cryptomonas";NA;NA;NA;NA;NA
"Otu133";28;12;9;10;0;7;4;4;2;3;6;21;10;0;12;2;2;9;0;0;0;0;0;1;0;7;0;4;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;3;7;1;9;6;6;0;9;17;11;8;5;1;12;13;10;19;17;13;11;8;7;11;8;8;8;3;14;5;4;13;7;9;17;29;6;3;16;7;10;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu11";34;98;53;217;85;309;29;182;64;116;31;407;25;16;75;148;52;45;399;170;100;68;21;31;29;126;88;44;12;36;61;61;16;29;89;66;17;107;14;59;44;24;55;61;19;6;18;7;58;196;30;72;15;43;33;23;76;40;305;30;29;18;150;80;18;91;42;138;74;22;77;58;45;35;35;50;319;71;95;76;23;30;70;68;76;37;344;114;30;134;27;149;629;88;12;66;81;46;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Dothideomycetes";NA;NA;NA;NA;NA;NA
"Otu1310";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Chytridiomycota";NA;NA;NA;NA;NA;NA;NA;NA
